"Column Name","Description"
"fecha_dato","The table is partitioned for this column"
"ncodpers","Customer code"
"ind_empleado","Employee index: A active, B ex employed, F filial, N not employee, P pasive"
"pais_residencia","Customer's Country residence"
"sexo","Customer's sex"
"age","Age"
"fecha_alta","The date in which the customer became as the first holder of a contract in the bank"
"ind_nuevo","New customer Index. 1 if the customer registered in the last 6 months."
"antiguedad","Customer seniority (in months)"
"indrel","1 (First/Primary), 99 (Primary customer during the month but not at the end of the month)"
"ult_fec_cli_1t","Last date as primary customer (if he isn't at the end of the month)"
"indrel_1mes","Customer type at the beginning of the month ,1 (First/Primary customer), 2 (co-owner ),P (Potential),3 (former primary), 4(former co-owner)"
"tiprel_1mes","Customer relation type at the beginning of the month, A (active), I (inactive), P (former customer),R (Potential)"
"indresi","Residence index (S (Yes) or N (No) if the residence country is the same than the bank country)"
"indext","Foreigner index (S (Yes) or N (No) if the customer's birth country is different than the bank country)"
"conyuemp","Spouse index. 1 if the customer is spouse of an employee"
"canal_entrada","channel used by the customer to join"
"indfall","Deceased index. N/S"
"tipodom","Addres type. 1, primary address"
"cod_prov","Province code (customer's address)"
"nomprov","Province name"
"ind_actividad_cliente","Activity index (1, active customer; 0, inactive customer)"
"renta","Gross income of the household"
"segmento","segmentation: 01 - VIP, 02 - Individuals 03 - college graduated"
"ind_ahor_fin_ult1","Cuenta de ahorro"
"ind_aval_fin_ult1","Garantias"
"ind_cco_fin_ult1","Cuentas actuales"
"ind_cder_fin_ult1","Cuenta derivada"
"ind_cno_fin_ult1","Cuenta de nomina"
"ind_ctju_fin_ult1","Cuenta Junior"
"ind_ctma_fin_ult1","Cuenta mas particular"
"ind_ctop_fin_ult1","Cuenta particular"
"ind_ctpp_fin_ult1","Cuenta Plus en particular"
"ind_deco_fin_ult1","Depósitos a corto plazo"
"ind_deme_fin_ult1","Depósitos a mediano plazo"
"ind_dela_fin_ult1","Depósitos a largo plazo"
"ind_ecue_fin_ult1","Cuenta electronica"
"ind_fond_fin_ult1","Fondos"
"ind_hip_fin_ult1","Hipoteca"
"ind_plan_fin_ult1","Pensiones"
"ind_pres_fin_ult1","Prestamos"
"ind_reca_fin_ult1","Impuestos"
"ind_tjcr_fin_ult1","Tarjeta de credito"
"ind_valo_fin_ult1","Valores"
"ind_viv_fin_ult1","Cuenta de inicio"
"ind_nomina_ult1","Nomina de sueldos"
"ind_nom_pens_ult1","Pensiones"
"ind_recibo_ult1","Debito directo"
